guess_brand,BRAND_CONFIRM,Title,Type,Status,Handle
Chupa Chups,,Chupa Chups Crawlers Sour Fruit Flavour Gummy Candy 90 g,Candy,active,chupa-chups-crawlers-sour-fruit-flavour-gummy-candy-90-g
Chupa Chups,,Chupa Chups Gecko Sour Fruit Flavour Gummy Candy 106 g,Candy,active,chupa-chups-gecko-sour-fruit-flavour-gummy-candy-106-g
Chupa Chups,,Chupa Chups Gecko Sour Fruit Flavour Gummy Candy 90 g,Candy,active,chupa-chups-gecko-sour-fruit-flavour-gummy-candy-90-g
Chupa Chups,,Chupa Chups Melody Pops Cola Flavour,Candy,active,chupa-chups-melody-pops-cola-flavour
Chupa Chups,,Chupa Chups Melody Pops Strawberry Flavour,Candy,active,chupa-chups-melody-pops-strawberry-flavour
Chupa Chups,,Chupa Chups Panda Bears Fruit Flavour Gummy Candy 90 g,Candy,active,chupa-chups-panda-bears-fruit-flavour-gummy-candy-90-g
Chupa Chups,,Chupa Chups Pinkis Soft & Chewy Strawberry Flavour Gummy Candy 106 g,Candy,active,chupa-chups-pinkis-soft-chewy-strawberry-flavour-gummy-candy-106-g
Chupa Chups,,Chupa Chups Pinkis Soft & Chewy Strawberry Flavour Gummy Candy 90 g,Candy,active,chupa-chups-pinkis-soft-chewy-strawberry-flavour-gummy-candy-90-g
Chupa Chups,,Chupa Chups Soft and Chewy 10g,Candy,active,chupa-chups-soft-and-chewy-10g
Chupa Chups,,Chupa Chups Soft Bubble Gum Babol Strawberry Flavour 27 GM,Gums,active,chupa-chups-soft-bubble-gum-babol-strawberry-flavour-27-gm
Chupa Chups,,Chupa Chups Soft Bubble Gum Babol Tutti Frutti Flavour 27 GM,Gums,active,chupa-chups-soft-bubble-gum-babol-tutti-frutti-flavour-27-gm
Chupa Chups,,Chupa Chups Sour Assorted Flavour Lollipops 120 g,Candy,active,chupa-chups-sour-assorted-flavour-lollipops-120-g
Chupa Chups,,Chupa Chups Sour Belt Mixed Fruit Flavour Soft and Chewy,Candy,active,chupa-chups-sour-belt-mixed-fruit-flavour-soft-and-chewy
Coca-Cola Light,,Coca-Cola Light 330ml,Carbonated Soft Drinks,active,coca-cola-light-330ml
Coca-Cola Original,,Coca-Cola Original Taste 2.25L,Carbonated Soft Drinks,active,coca-cola-original-taste-2-25l
Coca-Cola Original,,Coca-Cola Original Taste 250ml,Carbonated Soft Drinks,active,coca-cola-original-taste-250ml
Coca-Cola Original,,Coca-Cola Original Taste 330ml,Carbonated Soft Drinks,active,coca-cola-original-taste-330ml
Coca-Cola Original,,Coca-Cola Original Taste 350ml,Carbonated Soft Drinks,active,coca-cola-original-taste-350ml
Coca-Cola Sleek,,Coca-Cola Sleek Can 330ml,Carbonated Soft Drinks,active,coca-cola-sleek-can-330ml
Coca-Cola Zero,,Coca-Cola Zero Calories 1.25L,Carbonated Soft Drinks,active,coca-cola-zero-calories-1-25l
Coca-Cola Zero,,Coca-Cola Zero Sugar 350ml,Carbonated Soft Drinks,active,coca-cola-zero-sugar-350ml
Code,,Code Red Energy Drink 250ml,Energy & Sports Drinks,active,code-red-energy-drink-250ml
Cola,,Cola PushUp (Saudia),Ice Cream,active,cola-pushup-saudia
Color,,Color Bubble Pencil 12g,Candy,active,color-bubble-pencil-12g
Confetteria,,Confetteria Raffaello 30 GM,Chocolates,active,confetteria-raffaello-30-gm
Contetteria,,Contetteria Raffaello Ice Cream 47g,Ice Cream,active,contetteria-raffaello-ice-cream-47g
Cookies,,Cookies & Cream Ice Cream 75g,Ice Cream,active,cookies-cream-ice-cream-75g
Crazy,,Crazy Bottle Pop Apple Candy 25 g,Candy,active,crazy-bottle-pop-apple-candy-25-g
Crazy,,Crazy Brain Pop Blueberry 16g,Candy,active,crazy-brain-pop-blueberry-16g
Crazy,,Crazy Rollz Bubble Gum 12g,Candy,active,crazy-rollz-bubble-gum-12g
Crispy,,Crispy Potato Chips Mexican Chilli 75g,Chips & Crisps,active,crispy-potato-chips-mexican-chilli-75g
Dabur,,Dabur Glucose Orange Flavoured Energy Powder – Vitamin C & Calcium (500g),Energy & Sports Drinks,draft,dabur-glucose-orange-flavoured-energy-powder-vitamin-c-calcium-500g
Dabur,,Dabur Glucose-D Energy Powder – Vitamin D & Calcium (500g),Energy & Sports Drinks,draft,dabur-glucose-d-energy-powder-vitamin-d-calcium-500g
Dairy,,Dairy Fruity Spiral 5g,Ice Cream,active,dairy-fruity-spiral-5g
Dairy,,Dairy Saffron Ice Cream,Ice Cream,active,dairy-saffron-ice-cream
Dairy,,Dairy Sarin Ice Cream 90g,Ice Cream,active,dairy-sarin-ice-cream-90g
Dairy,,Dairy Vanilla Ice Cream Decorated with Chocolate,Ice Cream,active,dairy-vanilla-ice-cream-decorated-with-chocolate
Daity,,Daity Amiral Ice Cream 80g,Ice Cream,active,daity-amiral-ice-cream-80g
Daity,,Daity Amiral with Milk Ice Cream 80ml,Ice Cream,active,daity-amiral-with-milk-ice-cream-80ml
Daity,,Daity Sarin Ice Cream 90ml,Ice Cream,active,daity-sarin-ice-cream-90ml
